									
	Date	Item	Price	Unit	Amount	Discount	Net Amount	Sales Tax	Total
	28-Oct-2022	Pencil	$0.27 	26	$7.02 	$0.21 	$6.81 	$0.68 	$7.49 
	28-Oct-2022	Gel Pen	$1.40 	6	$8.40 	$0.42 	$7.98 	$0.80 	$8.78 
	28-Oct-2022	Eraser	$1.12 	13	$14.56 	$0.73 	$13.83 	$1.38 	$15.22 
	28-Oct-2022	Marker	$0.77 	25	$19.25 	$0.58 	$18.67 	$1.87 	$20.54 
	28-Oct-2022	Calculator	$7.39 	30	$221.70 	$11.09 	$210.62 	$21.06 	$231.68 
	28-Oct-2022	Highlighter	$1.02 	5	$5.10 	$0.26 	$4.85 	$0.48 	$5.33 
	28-Oct-2022	Stapler	$5.59 	6	$33.54 	$1.68 	$31.86 	$3.19 	$35.05 
	28-Oct-2022	Sticky Notes	$0.47 	16	$7.52 	$0.23 	$7.29 	$0.73 	$8.02 
	28-Oct-2022	Notebook	$3.03 	26	$78.78 	$3.94 	$74.84 	$7.48 	$82.33 
	28-Oct-2022	Clipboard	$2.49 	21	$52.29 	$2.61 	$49.68 	$4.97 	$54.64 
	29-Oct-2022	Ball Point Pen	$0.30 	26	$7.80 	$0.23 	$7.57 	$0.76 	$8.32 
	29-Oct-2022	Gel Pen	$1.40 	22	$30.80 	$1.54 	$29.26 	$2.93 	$32.19 
	29-Oct-2022	Eraser	$1.12 	29	$32.48 	$1.62 	$30.86 	$3.09 	$33.94 
	29-Oct-2022	Marker	$0.77 	20	$15.40 	$0.46 	$14.94 	$1.49 	$16.43 
	29-Oct-2022	Calculator	$7.39 	9	$66.51 	$3.33 	$63.18 	$6.32 	$69.50 
	29-Oct-2022	Highlighter	$1.02 	24	$24.48 	$1.22 	$23.26 	$2.33 	$25.58 
	29-Oct-2022	Glue	$5.49 	25	$137.25 	$6.86 	$130.39 	$13.04 	$143.43 
	29-Oct-2022	Sticky Notes	$0.47 	15	$7.05 	$0.21 	$6.84 	$0.68 	$7.52 
	29-Oct-2022	Notebook	$3.03 	20	$60.60 	$3.03 	$57.57 	$5.76 	$63.33 
	29-Oct-2022	Pencil	$0.27 	24	$6.48 	$0.19 	$6.29 	$0.63 	$6.91 
									
									
									
